Source Destination Bandwidth Latency category
nb_commodities 132
5 10 3580.0 185134.436671 3
2 0 2770.0 169780.540923 3
4 10 1745.0 167257.853825 3
7 6 2766.0 101739.744905 4
7 8 11969.0 213897.568872 4
4 7 16437.0 48816.2743144 2
5 2 27187.0 61316.4146293 1
7 10 9684.0 118441.579511 3
7 9 22906.0 54320.6623252 0
3 0 1642.0 214312.722234 4
4 0 832.0 101294.17073 4
0 6 630.0 154217.641321 4
2 3 31363.0 180648.165264 3
6 8 3823.0 182648.126944 3
4 5 3337.0 105702.586166 3
3 5 7694.0 119331.750635 3
11 8 40069.0 59963.0878635 1
6 11 4507.0 158041.677285 4
9 8 5447.0 268218.231197 3
11 3 16062.0 218136.758199 3
6 10 1946.0 125897.766949 3
3 6 4165.0 60095.0809137 4
5 8 18695.0 123411.457223 4
0 5 789.0 108464.126293 4
8 9 5169.0 268218.231197 3
1 8 8783.0 115814.979256 4
0 9 233.0 204431.10737 3
9 3 5128.0 58825.3989353 3
11 6 10130.0 158041.677285 3
1 11 37150.0 55851.8913929 2
6 7 2783.0 101739.744905 4
6 4 2893.0 52923.4705906 3
8 7 34167.0 213897.568872 4
8 2 122327.0 62095.0425933 2
10 4 7754.0 167257.853825 3
6 3 3962.0 60095.0809137 3
5 6 4841.0 59236.6697212 2
0 11 5538.0 107879.746821 3
2 10 5082.0 246450.8513 4
2 8 23882.0 62095.0425933 3
10 8 12889.0 308545.893893 3
6 9 1213.0 118920.479849 4
8 6 6894.0 182648.126944 3
10 3 7469.0 65802.6860356 3
9 2 6961.0 239473.564199 3
9 0 646.0 204431.10737 4
10 2 24371.0 246450.8513 4
5 11 13342.0 112288.162258 4
11 7 44119.0 153934.481009 3
7 0 1337.0 150110.445044 3
7 5 11906.0 154518.860481 4
5 3 10771.0 119331.750635 4
11 5 10055.0 112288.162258 3
9 4 2883.0 103136.93664 4
1 4 56067.0 49266.3153015 3
8 1 17991.0 115814.979256 3
4 3 1454.0 113018.551504 4
0 2 3128.0 169780.540923 4
1 7 69016.0 98082.5896159 3
7 4 161581.0 48816.2743144 4
3 11 10290.0 218136.758199 4
2 1 36737.0 117752.685494 3
5 0 1992.0 108464.126293 4
6 1 2001.0 102189.785892 3
4 11 15095.0 105118.206694 3
11 10 7930.0 272376.060519 4
11 1 25503.0 55851.8913929 1
1 2 6142.0 117752.685494 4
5 7 22366.0 154518.860481 4
4 1 26089.0 49266.3153015 2
9 7 9589.0 54320.6623252 3
8 0 1076.0 167842.834685 3
1 5 9094.0 56436.2708648 3
3 2 14012.0 180648.165264 3
2 5 14471.0 61316.4146293 4
11 4 26779.0 105118.206694 4
10 9 26143.0 64120.9171853 2
8 10 8686.0 308545.893893 3
7 2 424969.0 215835.27511 3
10 11 16178.0 272376.060519 4
3 1 3424.0 162284.866806 4
9 11 3962.0 208255.143334 3
9 5 3338.0 178157.14957 4
3 7 7652.0 113146.06126 3
10 6 13517.0 125897.766949 3
11 9 6207.0 208255.143334 4
1 10 2604.0 216524.169126 3
1 0 2146.0 52027.8554285 4
7 3 6459.0 113146.06126 3
2 6 33734.0 120553.084351 4
2 4 329673.0 167019.000796 3
10 1 41339.0 216524.169126 3
0 7 1016.0 150110.445044 3
11 0 1982.0 107879.746821 4
2 9 3602.0 239473.564199 3
10 0 932.0 268552.024555 3
0 4 1754.0 101294.17073 3
5 1 8016.0 56436.2708648 3
1 9 2174.0 152403.251941 4
0 10 249.0 268552.024555 4
3 4 7649.0 113018.551504 4
6 5 3800.0 59236.6697212 0
0 1 1140.0 52027.8554285 1
2 11 21896.0 122058.130457 4
9 6 2006.0 118920.479849 4
3 9 22050.0 58825.3989353 1
4 9 630.0 103136.93664 4
4 8 6840.0 165081.294558 3
4 2 12913.0 167019.000796 4
5 4 14702.0 105702.586166 3
4 6 2026.0 52923.4705906 1
7 1 44484.0 98082.5896159 1
7 11 71197.0 153934.481009 4
3 10 6470.0 65802.6860356 4
10 7 36468.0 118441.579511 4
1 3 3360.0 162284.866806 3
1 6 2429.0 102189.785892 4
10 5 29555.0 185134.436671 4
8 11 47980.0 59963.0878635 2
9 1 955.0 152403.251941 3
8 4 32998.0 165081.294558 3
0 8 1149.0 167842.834685 4
11 2 34597.0 122058.130457 3
6 2 7815.0 120553.084351 3
5 9 2094.0 178157.14957 3
0 3 415.0 214312.722234 4
2 7 385991.0 215835.27511 4
8 5 8773.0 123411.457223 4
3 8 6177.0 242743.207857 3
6 0 745.0 154217.641321 4
9 10 6139.0 64120.9171853 1
8 3 11677.0 242743.207857 3
