Source Destination Bandwidth Latency category
nb_commodities 210
0 1 5981.0 118007.034544 3
0 2 816.0 176709.186702 3
0 3 563.0 223743.88 3
0 4 431.0 277411.545185 4
0 5 1592.0 79414.0649117 4
0 6 444.0 120682.601446 3
0 7 576.0 109834.869889 4
0 8 491.0 179261.319487 3
0 9 563.0 180712.245782 4
0 10 252.0 330296.743249 4
0 11 695.0 292470.593179 3
0 12 324.0 210522.910247 4
0 13 1556.0 265105.248812 3
0 14 695.0 201530.066486 4
1 0 7132.0 118007.034544 4
1 2 2644.0 58702.1521584 4
1 3 2239.0 182922.78472 4
1 4 755.0 159404.510642 3
1 5 6102.0 38592.9696321 4
1 6 1832.0 238689.63599 4
1 7 4930.0 180269.833359 3
1 8 253.0 249696.282956 3
1 9 1952.0 297668.501632 4
1 10 755.0 290233.194995 3
1 11 1090.0 367404.901461 4
1 12 563.0 169701.814968 4
1 13 419.0 295215.566582 3
1 14 1855.0 271965.029955 3
2 0 977.0 176709.186702 3
2 1 3151.0 58702.1521584 0
2 3 312.0 192664.371879 3
2 4 240.0 136883.965616 3
2 5 252.0 97295.1217905 2
2 6 38.0 297391.788149 3
2 7 1149.0 121567.6812 3
2 8 85.0 190994.130798 4
2 9 97.0 238966.349473 3
2 10 97.0 348935.347153 3
2 11 145.0 308702.749303 3
2 12 85.0 228403.967126 3
2 13 37.0 353917.71874 4
2 14 431.0 213262.877797 4
3 0 678.0 223743.88 4
3 1 2675.0 182922.78472 4
3 2 370.0 192664.371879 4
3 4 982.0 55780.4062636 0
3 5 922.0 144329.815088 4
3 6 72.0 344426.481446 3
3 7 158.0 314232.053079 4
3 8 72.0 383658.502677 3
3 9 240.0 404456.125782 4
3 10 145.0 395970.04045 3
3 11 145.0 501367.121182 4
3 12 1521.0 275438.660424 3
3 13 157.0 400952.412037 4
3 14 192.0 405927.249676 3
4 0 512.0 277411.545185 4
4 1 905.0 159404.510642 4
4 2 286.0 136883.965616 3
4 3 1177.0 55780.4062636 0
4 5 98.0 197997.480274 3
4 6 37.0 398094.146632 4
4 7 120.0 258451.646816 4
4 8 61.0 327878.096413 3
4 9 61.0 375850.315089 3
4 10 37.0 449637.705636 3
4 11 86.0 445586.714918 4
4 12 85.0 329106.325609 4
4 13 38.0 454620.077223 3
4 14 86.0 350146.843412 4
5 0 1903.0 79414.0649117 4
5 1 7275.0 38592.9696321 4
5 2 298.0 97295.1217905 2
5 3 1106.0 144329.815088 4
5 4 121.0 197997.480274 4
5 6 97.0 200096.666358 4
5 7 874.0 189248.934801 4
5 8 86.0 258675.384398 4
5 9 575.0 260126.310694 3
5 10 181.0 251640.225363 3
5 11 132.0 371884.658091 4
5 12 158.0 131108.845336 3
5 13 240.0 256622.596949 3
5 14 264.0 280944.131398 3
6 0 536.0 120682.601446 3
6 1 2189.0 238689.63599 4
6 2 49.0 297391.788149 4
6 3 84.0 344426.481446 3
6 4 48.0 398094.146632 3
6 5 120.0 200096.666358 3
6 7 61.0 177428.312609 4
6 8 265.0 108001.863012 4
6 9 193.0 60029.6443359 2
6 10 97.0 209614.141803 4
6 11 60.0 171787.991733 3
6 12 61.0 269936.398979 4
6 13 73.0 144422.647365 3
6 14 192.0 187545.043279 3
7 0 691.0 109834.869889 4
7 1 5884.0 180269.833359 3
7 2 1368.0 121567.6812 4
7 3 192.0 314232.053079 4
7 4 143.0 258451.646816 4
7 5 1047.0 189248.934801 3
7 6 73.0 177428.312609 3
7 8 204.0 69426.4495974 1
7 9 181.0 117398.668273 3
7 10 97.0 387042.454411 4
7 11 145.0 187135.068102 3
7 12 157.0 320357.780137 4
7 13 241.0 321850.959974 4
7 14 516.0 91695.1965967 3
8 0 584.0 179261.319487 4
8 1 299.0 249696.282956 3
8 2 108.0 190994.130798 4
8 3 84.0 383658.502677 3
8 4 73.0 327878.096413 4
8 5 108.0 258675.384398 4
8 6 322.0 108001.863012 3
8 7 250.0 69426.4495974 1
8 9 204.0 47972.2186757 0
8 10 73.0 317616.004814 4
8 11 276.0 117708.618505 3
8 12 61.0 377938.26199 3
8 13 120.0 252424.510377 3
8 14 252.0 79543.1802679 1
9 0 678.0 180712.245782 4
9 1 2331.0 297668.501632 4
9 2 120.0 238966.349473 3
9 3 286.0 404456.125782 3
9 4 73.0 375850.315089 3
9 5 690.0 260126.310694 3
9 6 228.0 60029.6443359 2
9 7 215.0 117398.668273 4
9 8 250.0 47972.2186757 0
9 10 419.0 269643.786138 4
9 11 1209.0 111758.347397 4
9 12 910.0 329966.043315 3
9 13 1137.0 204452.291701 4
9 14 670.0 127515.398944 3
10 0 298.0 330296.743249 4
10 1 905.0 290233.194995 4
10 2 120.0 348935.347153 3
10 3 180.0 395970.04045 4
10 4 49.0 449637.705636 4
10 5 215.0 251640.225363 3
10 6 120.0 209614.141803 4
10 7 120.0 387042.454411 4
10 8 84.0 317616.004814 4
10 9 500.0 269643.786138 3
10 11 240.0 381402.133536 3
10 12 612.0 120531.380027 4
10 13 384.0 65191.4944375 2
10 14 157.0 397159.185082 4
11 0 833.0 292470.593179 3
11 1 1298.0 367404.901461 4
11 2 180.0 308702.749303 3
11 3 179.0 501367.121182 4
11 4 108.0 445586.714918 4
11 5 156.0 371884.658091 3
11 6 72.0 171787.991733 4
11 7 179.0 187135.068102 3
11 8 334.0 117708.618505 4
11 9 1439.0 111758.347397 4
11 10 286.0 381402.133536 3
11 12 97.0 441724.390712 3
11 13 97.0 316210.639098 4
11 14 934.0 197251.798773 3
12 0 393.0 210522.910247 3
12 1 678.0 169701.814968 4
12 2 107.0 228403.967126 3
12 3 1819.0 275438.660424 3
12 4 107.0 329106.325609 3
12 5 192.0 131108.845336 3
12 6 72.0 269936.398979 3
12 7 191.0 320357.780137 4
12 8 72.0 377938.26199 4
12 9 1082.0 329966.043315 3
12 10 727.0 120531.380027 4
12 11 121.0 441724.390712 3
12 13 313.0 125513.751614 3
12 14 193.0 412052.976733 4
13 0 1855.0 265105.248812 4
13 1 500.0 295215.566582 3
13 2 48.0 353917.71874 4
13 3 191.0 400952.412037 4
13 4 49.0 454620.077223 4
13 5 286.0 256622.596949 3
13 6 85.0 144422.647365 4
13 7 287.0 321850.959974 4
13 8 143.0 252424.510377 3
13 9 1355.0 204452.291701 4
13 10 464.0 65191.4944375 1
13 11 120.0 316210.639098 4
13 12 370.0 125513.751614 3
13 14 97.0 331967.690645 4
14 0 833.0 201530.066486 4
14 1 2212.0 271965.029955 4
14 2 512.0 213262.877797 3
14 3 227.0 405927.249676 3
14 4 108.0 350146.843412 4
