Source Destination Bandwidth Latency category
nb_commodities 110
9 8 109.0 73956.5491981 2
10 7 85.0 149912.754471 3
5 3 5.0 72773.8029427 2
8 3 5.0 73212.4834441 4
8 6 5.0 73714.6794031 2
6 0 5.0 73601.3816169 1
6 5 5.0 73188.1632048 1
6 8 5.0 73714.6794031 1
3 5 4.0 72773.8029427 2
3 1 4.0 74529.9918039 3
3 6 4.0 71980.7453578 1
6 2 4.0 74212.9297439 4
10 0 82.0 149217.114852 3
6 1 4.0 74956.4468336 1
4 9 82.0 72095.7377958 2
10 1 79.0 150554.314865 4
8 9 79.0 73956.5491981 3
1 3 77.0 74529.9918039 2
1 9 73.0 75283.5004484 3
10 5 69.0 148808.01763 4
9 2 67.0 74549.3839713 4
0 10 65.0 149217.114852 4
5 9 100.0 73537.2032133 3
9 6 65.0 72864.5662145 3
5 10 63.0 148808.01763 4
7 0 63.0 75266.4984974 2
7 10 62.0 149912.754471 4
1 10 61.0 150554.314865 3
9 4 59.0 72095.7377958 4
9 3 58.0 72345.959919 1
10 2 56.0 76512.4629751 2
8 10 56.0 149227.363615 4
2 9 55.0 74549.3839713 2
0 9 99.0 73946.3004351 4
4 10 54.0 147366.552212 4
7 5 50.0 74876.231505 3
5 0 49.0 74349.2542422 3
10 6 48.0 148135.380631 4
8 0 48.0 74761.0246471 4
8 5 48.0 74362.4687093 3
0 2 45.0 75267.6083316 4
10 4 44.0 147366.552212 4
4 3 40.0 71169.7925628 1
10 9 38.0 75270.8144165 2
10 8 98.0 149227.363615 4
8 4 38.0 72972.2584208 3
5 8 36.0 74362.4687093 3
3 9 35.0 72345.959919 3
10 3 33.0 147616.774336 4
2 10 33.0 76512.4629751 1
4 6 32.0 71726.6013473 4
0 7 32.0 75266.4984974 3
5 2 30.0 74941.9681777 2
3 10 29.0 147616.774336 4
6 9 29.0 72864.5662145 4
9 0 98.0 73946.3004351 2
0 8 28.0 74761.0246471 2
7 4 26.0 73526.2558109 3
7 2 26.0 75831.1509149 1
4 7 24.0 73526.2558109 3
9 10 23.0 75270.8144165 1
6 10 23.0 148135.380631 3
4 8 22.0 72972.2584208 3
8 2 22.0 75342.5401793 1
1 6 21.0 74956.4468336 4
0 4 20.0 72840.8255108 1
9 7 93.0 74641.9400541 4
0 1 20.0 75973.1418746 2
2 8 19.0 75342.5401793 1
6 3 19.0 71980.7453578 4
0 5 18.0 74349.2542422 1
5 1 18.0 75664.5649135 4
4 2 16.0 73473.3484884 4
0 6 16.0 73601.3816169 4
4 0 15.0 72840.8255108 1
0 3 14.0 73146.2212316 4
1 8 14.0 76052.6922843 3
7 9 93.0 74641.9400541 4
8 1 14.0 76052.6922843 1
2 0 13.0 75267.6083316 2
2 6 13.0 74212.9297439 3
2 7 13.0 75831.1509149 2
4 1 12.0 74240.097276 3
5 4 12.0 72528.3865665 2
5 7 12.0 74876.231505 3
1 7 12.0 76522.5795361 3
6 4 12.0 71726.6013473 4
7 1 12.0 76522.5795361 2
9 5 92.0 73537.2032133 3
4 5 11.0 72528.3865665 2
1 5 11.0 75664.5649135 2
7 8 11.0 75434.2033144 1
2 4 10.0 73473.3484884 4
2 5 10.0 74941.9681777 3
2 1 10.0 76527.3217122 2
1 4 10.0 74240.097276 1
1 0 10.0 75973.1418746 2
1 2 10.0 76527.3217122 1
8 7 10.0 75434.2033144 3
9 1 92.0 75283.5004484 4
3 7 8.0 73758.6286956 1
6 7 8.0 74247.9168092 1
7 6 8.0 74247.9168092 1
5 6 7.0 73188.1632048 1
2 3 7.0 73771.3927855 1
7 3 7.0 73758.6286956 4
3 4 6.0 71169.7925628 4
3 0 6.0 73146.2212316 3
3 2 6.0 73771.3927855 4
3 8 5.0 73212.4834441 1
