Source Destination Bandwidth Latency category
nb_commodities 22
0 1 2.0 115622.513823 3
0 4 3.0 170308.548585 4
0 5 3.0 103353.062754 4
0 7 4.0 177261.048497 4
1 2 1.0 87425.0978181 4
4 5 2.0 117737.232973 3
4 6 2.0 149359.466247 4
3 4 1.0 139873.133401 3
3 9 1.0 44615.9165815 1
0 10 1.0 45181.2921636 1
10 5 3.0 82067.4594852 1
10 6 2.0 43101.2382689 1
0 6 1.0 20949.0823374 4
6 8 4.0 107368.173828 3
2 9 5.0 138847.704634 4
1 9 2.0 116101.76818 4
3 8 1.0 107551.740223 4
7 9 3.0 179698.73674 3
2 3 1.0 183463.621216 4
2 6 3.0 160364.032014 4
10 8 5.0 104305.509647 4
6 7 3.0 180129.722452 4
