Source Destination Bandwidth Latency category
nb_commodities 240
0 1 42.0 162827.774207 4
0 2 42.0 199446.104158 3
0 3 22.0 199965.001356 3
0 4 20.0 138184.536012 3
0 5 20.0 27223.5838855 2
0 6 20.0 54059.0923854 0
0 7 20.0 103762.810514 4
0 8 17.0 180134.130977 3
0 9 7.0 97824.9585995 2
0 10 7.0 193335.623299 3
0 11 17.0 79894.3961962 2
0 12 7.0 158954.026972 3
0 13 17.0 183674.281452 4
0 14 17.0 26383.5147114 4
0 15 7.0 224847.316649 4
1 0 41.0 162827.774207 4
1 2 14.0 228054.556776 4
1 3 14.0 206936.959881 4
1 4 7.0 61349.2864212 1
1 5 7.0 168581.39445 3
1 6 7.0 188579.104885 3
1 7 7.0 266590.584722 4
1 8 11.0 159180.799023 4
1 9 5.0 227475.000353 3
1 10 5.0 269942.317341 3
1 11 11.0 121222.064581 3
1 12 5.0 49251.7622856 1
1 13 11.0 102180.939903 3
1 14 11.0 166866.041919 4
1 15 5.0 143353.9751 3
2 0 41.0 199446.104158 3
2 1 14.0 228054.556776 4
2 3 14.0 21117.5968941 3
2 4 7.0 246266.808727 3
2 5 7.0 185362.450421 4
2 6 7.0 150060.769364 4
2 7 7.0 95683.2936437 1
2 8 11.0 68873.7577525 3
2 9 5.0 149911.838333 3
2 10 5.0 117012.45907 3
2 11 11.0 234720.389023 3
2 12 5.0 178802.79449 3
2 13 11.0 125873.616873 3
2 14 11.0 200923.304282 4
2 15 5.0 114685.202376 4
3 0 21.0 199965.001356 3
3 1 14.0 206936.959881 4
3 2 14.0 21117.5968941 2
3 4 7.0 225149.211833 4
3 5 7.0 198728.203821 3
3 6 7.0 148068.533302 4
3 7 7.0 96202.1908412 2
3 8 11.0 47756.1608584 2
3 9 5.0 128794.241439 4
3 10 5.0 116298.474827 4
3 11 11.0 232728.152962 4
3 12 5.0 157685.197596 4
3 13 11.0 104756.019979 3
3 14 11.0 198931.068221 3
3 15 5.0 93567.605482 4
4 0 9.0 138184.536012 3
4 1 6.0 61349.2864212 4
4 2 6.0 246266.808727 3
4 3 16.0 225149.211833 3
4 5 3.0 165408.119898 4
4 6 3.0 191910.979084 4
4 7 3.0 241947.346527 4
4 8 5.0 177393.050975 3
4 9 2.0 212489.888053 3
4 10 2.0 288154.569293 4
4 11 5.0 112720.079086 4
4 12 2.0 67464.0142372 4
4 13 5.0 120393.191854 4
4 14 5.0 141048.444165 4
4 15 2.0 161566.227051 4
5 0 9.0 27223.5838855 1
5 1 6.0 168581.39445 3
5 2 6.0 185362.450421 3
5 3 16.0 198728.203821 4
5 4 3.0 165408.119898 3
5 6 3.0 50659.6705182 4
5 7 3.0 104795.247341 4
5 8 5.0 186484.600482 4
5 9 2.0 125048.542485 4
5 10 2.0 220559.207185 4
5 11 5.0 107117.980082 3
5 12 2.0 186177.610858 3
5 13 5.0 187045.714408 3
5 14 5.0 53607.0985969 1
5 15 2.0 228218.749605 3
6 0 9.0 54059.0923854 1
6 1 6.0 188579.104885 4
6 2 6.0 150060.769364 4
6 3 16.0 148068.533302 4
6 4 3.0 191910.979084 3
6 5 3.0 50659.6705182 3
6 7 3.0 105291.813803 3
6 8 5.0 135824.929964 3
6 9 2.0 80834.6230273 4
6 10 2.0 176345.287727 4
6 11 5.0 84659.619659 3
6 12 2.0 139327.342599 3
6 13 5.0 136386.043889 4
6 14 5.0 50862.5349182 3
6 15 2.0 177559.079087 3
7 0 9.0 103762.810514 3
7 1 6.0 266590.584722 3
7 2 6.0 95683.2936437 1
7 3 16.0 96202.1908412 1
7 4 3.0 241947.346527 3
7 5 3.0 104795.247341 4
7 6 3.0 105291.813803 3
7 8 5.0 143958.3517 4
7 9 2.0 186126.43683 3
7 10 2.0 212500.665668 3
7 11 5.0 183657.206711 3
7 12 2.0 244619.156402 3
7 13 5.0 200958.21082 3
7 14 5.0 130146.325226 4
7 15 2.0 189769.796323 3
8 0 16.0 180134.130977 4
8 1 11.0 159180.799023 3
8 2 11.0 68873.7577525 4
8 3 11.0 47756.1608584 3
8 4 5.0 177393.050975 3
8 5 5.0 186484.600482 3
8 6 5.0 135824.929964 3
8 7 5.0 143958.3517 3
8 9 10.0 121633.71469 4
8 10 10.0 110761.518318 4
8 11 9.0 220484.549623 3
8 12 4.0 109929.036737 4
8 13 9.0 56999.8591205 4
8 14 9.0 153750.616266 3
8 15 4.0 45811.4446236 0
9 0 6.0 97824.9585995 4
9 1 4.0 227475.000353 3
9 2 4.0 149911.838333 4
9 3 4.0 128794.241439 3
9 4 2.0 212489.888053 4
9 5 2.0 125048.542485 3
9 6 2.0 80834.6230273 1
9 7 2.0 186126.43683 3
9 8 10.0 121633.71469 3
9 10 2.0 95510.6646999 4
9 11 4.0 150577.121274 4
9 12 2.0 178223.238067 3
9 13 4.0 125294.06045 3
9 14 4.0 71441.4438881 3
9 15 2.0 166467.095647 4
10 0 6.0 193335.623299 4
10 1 4.0 269942.317341 3
10 2 4.0 117012.45907 3
10 3 4.0 116298.474827 3
10 4 2.0 288154.569293 3
10 5 2.0 220559.207185 4
10 6 2.0 176345.287727 4
10 7 2.0 212500.665668 4
10 8 10.0 110761.518318 3
10 9 2.0 95510.6646999 4
10 11 4.0 246087.785974 4
10 12 2.0 220690.555056 3
10 13 4.0 167761.377439 4
10 14 4.0 166952.108588 4
10 15 2.0 156572.962942 4
11 0 29.0 79894.3961962 4
11 1 11.0 121222.064581 3
11 2 11.0 234720.389023 3
11 3 11.0 232728.152962 4
11 4 5.0 112720.079086 4
11 5 5.0 107117.980082 3
11 6 5.0 84659.619659 3
11 7 5.0 183657.206711 4
11 8 9.0 220484.549623 4
11 9 4.0 150577.121274 4
11 10 4.0 246087.785974 4
11 12 10.0 116029.968232 3
11 13 9.0 168959.145849 3
11 14 9.0 79135.6773862 2
11 15 4.0 210132.181046 4
12 0 6.0 158954.026972 4
12 1 4.0 49251.7622856 2
12 2 4.0 178802.79449 3
12 3 4.0 157685.197596 3
12 4 2.0 67464.0142372 4
12 5 2.0 186177.610858 3
12 6 2.0 139327.342599 3
12 7 2.0 244619.156402 3
12 8 4.0 109929.036737 3
12 9 2.0 178223.238067 4
12 10 2.0 220690.555056 3
12 11 10.0 116029.968232 3
12 13 4.0 52929.177617 1
12 14 4.0 161695.148695 3
12 15 2.0 94102.2128141 2
13 0 16.0 183674.281452 3
13 1 11.0 102180.939903 4
13 2 11.0 125873.616873 3
13 3 11.0 104756.019979 4
13 4 5.0 120393.191854 4
13 5 5.0 187045.714408 3
13 6 5.0 136386.043889 3
13 7 5.0 200958.21082 3
13 8 9.0 56999.8591205 4
13 9 4.0 125294.06045 4
13 10 4.0 167761.377439 3
13 11 9.0 168959.145849 4
13 12 4.0 52929.177617 2
13 14 25.0 157290.76674 4
13 15 10.0 41173.0351972 4
14 0 16.0 26383.5147114 2
14 1 11.0 166866.041919 4
14 2 11.0 200923.304282 3
14 3 11.0 198931.068221 3
14 4 5.0 141048.444165 3
14 5 5.0 53607.0985969 1
14 6 5.0 50862.5349182 2
14 7 5.0 130146.325226 3
14 8 9.0 153750.616266 3
14 9 4.0 71441.4438881 3
14 10 4.0 166952.108588 3
14 11 9.0 79135.6773862 1
14 12 4.0 161695.148695 3
14 13 25.0 157290.76674 3
14 15 4.0 198463.801938 4
15 0 6.0 224847.316649 4
15 1 4.0 143353.9751 4
15 2 4.0 114685.202376 4
15 3 4.0 93567.605482 1
15 4 2.0 161566.227051 3
15 5 2.0 228218.749605 4
15 6 2.0 177559.079087 4
15 7 2.0 189769.796323 4
15 8 4.0 45811.4446236 4
15 9 2.0 166467.095647 3
15 10 2.0 156572.962942 4
15 11 4.0 210132.181046 3
15 12 2.0 94102.2128141 4
15 13 10.0 41173.0351972 3
15 14 4.0 198463.801938 3
