Source Destination Bandwidth Latency category
nb_commodities 121
5 4 4.0 152203.727502 3
5 13 4.0 151277.169703 4
5 14 4.0 297174.995794 3
5 12 4.0 226060.050394 3
5 1 12.0 149198.806421 4
5 2 8.0 76640.6316533 4
5 0 8.0 75969.6578893 4
5 10 2.0 292447.497678 3
5 15 4.0 222879.03244 3
5 16 14.0 75331.9242497 1
5 11 2.0 222000.749184 3
5 6 4.0 220440.240097 3
5 8 4.0 148862.019208 4
5 9 6.0 220806.694885 4
5 7 4.0 291377.487178 3
4 13 2.0 151541.581427 4
4 14 2.0 298751.409573 3
4 12 2.0 226324.462118 4
4 1 6.0 150775.220201 3
4 2 6.0 76894.3972004 4
4 0 6.0 76234.0696126 1
4 10 2.0 295690.167112 4
4 15 2.0 224455.44622 4
4 16 4.0 151440.616809 3
4 11 2.0 223577.162964 3
4 6 2.0 295099.234292 4
4 8 2.0 223521.013404 4
4 9 2.0 295465.689081 3
4 7 2.0 366036.481374 4
13 14 8.0 148773.830827 3
13 12 8.0 74782.8806911 4
13 1 10.0 148158.093493 3
13 2 4.0 151833.512434 3
13 0 6.0 75307.5118139 2
13 10 2.0 293073.040404 3
13 15 6.0 74477.8674734 3
13 16 6.0 150514.059011 3
13 11 2.0 220960.036256 3
13 6 4.0 292482.107584 4
13 8 2.0 220903.886696 4
13 9 4.0 292848.562373 4
13 7 2.0 363419.354666 4
14 12 10.0 74603.2170409 4
14 1 12.0 147976.189373 3
14 2 4.0 299043.340581 3
14 0 6.0 222517.339961 3
14 10 2.0 292891.136284 4
14 15 12.0 74295.9633534 3
14 16 6.0 221843.071544 4
14 11 2.0 220778.132136 3
14 6 4.0 292300.203464 4
14 8 4.0 220721.982576 4
14 9 4.0 292666.658253 3
14 7 2.0 363237.450546 3
12 1 8.0 222579.406414 4
12 2 4.0 226616.393125 3
12 0 4.0 150090.392505 3
12 10 2.0 367494.353325 4
12 15 6.0 148899.180394 3
12 16 4.0 225296.939702 4
12 11 2.0 295381.349177 4
12 6 2.0 366903.420505 4
12 8 2.0 295325.199617 4
12 9 4.0 367269.875294 4
12 7 2.0 437840.667587 3
1 2 12.0 151067.151208 3
1 0 14.0 74541.1505882 1
1 10 4.0 144914.946912 3
1 15 12.0 73680.2260192 3
1 16 18.0 73866.8821715 4
1 11 10.0 72801.9427632 3
1 6 10.0 144324.014092 4
1 3 50.0 224221.407723 3
1 8 10.0 72745.7932034 3
1 9 14.0 144690.468881 3
1 7 8.0 215261.261173 3
2 0 10.0 76526.0006201 3
2 10 2.0 295982.09812 3
2 15 4.0 224747.377227 4
2 16 8.0 151732.547817 4
2 11 2.0 223869.093971 3
2 6 4.0 295391.1653 4
2 8 4.0 223812.944412 4
2 9 4.0 295757.620089 4
2 7 4.0 366328.412382 3
0 10 2.0 219456.0975 3
0 15 6.0 148221.376607 4
0 16 10.0 75206.5471969 4
0 11 4.0 147343.093351 3
0 6 4.0 218865.16468 4
0 8 4.0 147286.943792 3
0 9 6.0 219231.619469 4
0 7 4.0 289802.411761 3
10 15 2.0 218595.172931 3
10 16 2.0 217115.573428 3
10 11 2.0 72113.0041485 1
10 6 2.0 213843.173252 3
10 8 2.0 143585.47847 3
10 9 4.0 71640.8027924 1
10 7 2.0 142905.926171 4
15 16 6.0 147547.108191 3
15 11 2.0 146482.168782 3
15 6 4.0 218004.240111 3
15 8 4.0 146426.019223 4
15 9 4.0 218370.6949 4
15 7 4.0 288941.487192 3
16 11 4.0 146668.824935 4
16 6 8.0 145108.315847 4
16 8 6.0 73530.0949585 1
16 9 8.0 145474.770636 4
16 7 6.0 216045.562928 3
11 6 2.0 217125.956855 4
11 8 2.0 145547.735967 3
11 9 4.0 143753.806941 4
11 7 2.0 215018.930319 4
6 8 6.0 71578.2208884 1
6 9 6.0 142202.37046 3
6 7 6.0 70937.2470815 4
8 9 6.0 71944.6756772 2
8 7 4.0 142515.46797 4
9 7 8.0 71265.1233782 1
