Source Destination Bandwidth Latency category
nb_commodities 91
0 1 52.0 53149.5198034 2
0 2 18.0 119058.039422 4
0 3 32.0 153032.555268 4
0 4 64.0 148894.171148 3
0 5 40.0 129611.230844 4
0 6 34.0 120751.517745 3
0 7 14.0 179478.231163 3
0 8 16.0 182465.304981 3
0 9 50.0 183825.815887 3
0 10 40.0 189930.944146 4
0 11 52.0 100503.342044 3
0 12 22.0 58541.4366204 4
0 13 24.0 63843.1464738 1
1 2 26.0 100882.607804 3
1 3 46.0 99883.035465 4
1 4 94.0 95744.651345 2
1 5 58.0 127153.957584 4
1 6 48.0 173901.037548 4
1 7 20.0 161302.799545 4
1 8 22.0 159200.745802 4
1 9 74.0 160674.531197 3
1 10 56.0 151859.949299 4
1 11 76.0 47353.8222404 0
1 12 30.0 111690.956424 4
1 13 32.0 61385.8732136 3
2 3 22.0 106057.998788 3
2 4 44.0 101919.614668 4
2 5 30.0 121050.428583 4
2 6 24.0 122726.683926 3
2 7 12.0 60420.1917414 1
2 8 10.0 165375.709125 3
2 9 34.0 166849.49452 3
2 10 26.0 158034.912622 4
2 11 40.0 53528.7855633 3
2 12 16.0 60516.6028012 2
2 13 14.0 162268.481017 4
3 4 122.0 100920.042329 4
3 5 74.0 180195.286754 4
3 6 70.0 121031.497573 3
3 7 22.0 166478.190529 4
3 8 60.0 59317.7103366 3
3 9 168.0 60791.4957321 1
3 10 194.0 119875.573452 3
3 11 78.0 52529.2132246 1
3 12 24.0 166574.601589 3
3 13 26.0 161268.908679 3
4 5 148.0 116435.011256 3
4 6 126.0 178386.948306 4
4 7 44.0 162339.806409 4
4 8 54.0 116673.16107 3
4 9 182.0 118056.521884 4
4 10 144.0 56115.2979539 4
4 11 172.0 48390.8291046 1
4 12 46.0 162436.217469 3
4 13 52.0 157130.524559 4
5 6 102.0 182591.363654 4
5 7 34.0 60630.2368412 3
5 8 34.0 120877.576418 3
5 9 114.0 122260.937232 3
5 10 88.0 60319.7133021 4
5 11 102.0 164825.840361 3
5 12 30.0 181567.031384 4
5 13 34.0 65768.0843702 2
6 7 26.0 183146.875667 3
6 8 32.0 61713.7872367 2
6 9 110.0 63074.2981419 3
6 10 86.0 122271.650352 4
6 11 84.0 173560.710798 3
6 12 26.0 62210.0811244 3
6 13 28.0 184594.664219 3
7 8 10.0 181507.813259 3
7 9 34.0 182891.174073 3
7 10 26.0 120949.950143 3
7 11 38.0 113948.977305 4
7 12 12.0 120936.794543 4
7 13 12.0 126398.321211 3
8 9 168.0 120109.206069 3
8 10 236.0 60557.8631156 1
8 11 36.0 111846.923561 3
8 12 12.0 123923.868361 3
8 13 12.0 186645.660788 3
9 10 324.0 61941.2239302 3
9 11 122.0 113320.708957 4
9 12 36.0 125284.379266 3
9 13 42.0 188029.021603 3
10 11 94.0 104506.127059 4
10 12 28.0 184481.731477 3
10 13 32.0 126087.797672 3
11 12 40.0 114045.388365 4
11 13 42.0 108739.695454 3
12 13 16.0 122384.583094 4
