Source Destination Bandwidth Latency category
nb_commodities 24
8 1 384.0 74430.9735423 4
2 3 215.0 71480.8279905 4
6 7 212.0 75136.1611091 4
9 2 197.0 73112.8168436 1
8 10 160.0 74739.8105188 1
1 7 160.0 73745.9491223 4
1 4 144.0 71884.8509913 4
0 6 138.0 76317.8290673 3
2 4 124.0 71217.5605761 1
5 7 115.0 73314.3079702 2
0 9 115.0 75743.4500768 1
9 10 364.0 74043.7761205 4
4 7 108.0 72633.5762881 3
3 4 105.0 70891.9809511 3
8 7 100.0 75033.9152927 1
10 2 99.0 72759.5743518 3
4 5 95.0 71421.3280281 3
1 2 278.0 72473.0700292 2
10 1 266.0 73383.0389332 1
8 9 263.0 75068.1543534 2
0 8 258.0 76316.5514827 2
8 6 247.0 75663.3266781 3
1 5 237.0 72592.9456902 4
1 3 237.0 72142.2019488 3
