Source Destination Bandwidth Latency category
nb_commodities 66
0 1 195.0 152877.743578 4
0 2 158.0 77947.1011044 3
0 3 174.0 224300.783637 4
0 4 101.0 151111.906861 3
0 5 198.0 77237.4747537 1
0 6 158.0 152081.860624 3
0 7 182.0 229156.958838 4
0 8 154.0 152168.440081 4
0 9 175.0 155433.842446 4
0 10 122.0 76767.7258777 1
0 11 114.0 226804.289655 3
1 2 179.0 77322.2751168 2
1 3 117.0 223643.07546 3
1 4 105.0 150454.198684 3
1 5 159.0 152288.694729 4
1 6 198.0 151424.152447 4
1 7 189.0 76279.2152605 1
1 8 166.0 223448.483764 3
1 9 142.0 152749.759481 4
1 10 137.0 76110.0177003 3
1 11 163.0 151386.456145 4
2 3 131.0 300965.350577 3
2 4 159.0 227776.473801 3
2 5 164.0 155184.575858 4
2 6 128.0 228746.427564 3
2 7 195.0 153601.490377 4
2 8 130.0 230115.541185 3
2 9 105.0 77486.7413417 3
2 10 173.0 153432.292817 4
2 11 157.0 228708.731261 3
3 4 194.0 73188.8767761 4
3 5 125.0 221114.127184 3
3 6 110.0 74218.1693045 4
3 7 132.0 148993.65926 4
3 8 159.0 146183.161857 4
3 9 109.0 225464.203481 4
3 10 126.0 147533.05776 3
3 11 100.0 73886.4183763 3
4 5 124.0 147925.250408 3
4 6 106.0 147407.046081 4
4 7 136.0 222182.536037 3
4 8 144.0 72994.2850806 3
4 9 168.0 298653.080257 3
4 10 119.0 74344.1809836 2
4 11 127.0 147075.295152 4
5 6 105.0 151492.811776 3
5 7 147.0 228567.90999 3
5 8 140.0 74930.9653269 1
5 9 198.0 232671.3172 3
5 10 104.0 76178.6770291 1
5 11 113.0 226215.240806 4
6 7 169.0 149829.669914 4
6 8 187.0 220401.331161 4
6 9 196.0 226300.214135 3
6 10 193.0 75314.1347467 3
6 11 151.0 74722.4290304 3
7 8 106.0 295176.821117 4
7 9 125.0 76470.5442206 4
7 10 194.0 152389.232961 4
7 11 194.0 75107.240884 1
8 9 123.0 307602.282527 3
8 10 181.0 147338.466064 4
8 11 193.0 220069.580233 3
9 10 181.0 228859.777181 3
9 11 195.0 151577.785105 4
10 11 141.0 150036.563777 3
